team_list,avg_score,variance,Max_Avg_Score,Order,Gen
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",14.9775390625,5.232144084494135,16.9228515625,6,11
"['CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'LINCOLN KALIYA', 'SKINNER MYKAYLA']",13.177734375,3.684899651759531,16.9228515625,7,11
"['LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA', 'WONG LEANNE']",12.1396484375,3.9736366309261975,16.9228515625,8,11
"['JONES SHILESE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",11.1171875,4.80150293255132,16.9228515625,9,11
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MC CALLUM', 'SKINNER MYKAYLA']",10.5439453125,4.590442288306452,16.9228515625,10,11
"['LEE SUNISA', 'LINCOLN KALIYA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",9.7041015625,4.425555008247801,16.9228515625,11,11
"['BILES SIMONE', 'CALLUM MC GRACE', 'JONES SHILESE', 'LINCOLN KALIYA', 'SKINNER MYKAYLA']",9.6630859375,6.3174629994501466,16.9228515625,12,11
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.2353515625,4.553548654386608,16.2353515625,1,12
"['BILES SIMONE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.21875,5.819159335288368,16.2353515625,2,12
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",15.9423828125,6.185337816165689,16.2353515625,3,12
"['BILES SIMONE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",15.5087890625,5.3840868997434015,16.2353515625,4,12
"['BILES SIMONE', 'FRAZIER EMJAE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MC CALLUM']",15.0625,5.391984359726295,16.2353515625,5,12
"['CAREY JADE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MC CALLUM', 'SKINNER MYKAYLA']",14.6572265625,4.841335800036657,16.2353515625,6,12
"['CAREY JADE', 'JONES SHILESE', 'LINCOLN KALIYA', 'MC CALLUM', 'SKINNER MYKAYLA']",13.744140625,5.940337090664712,16.2353515625,7,12
"['JONES SHILESE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",11.587890625,3.1985237964320627,16.2353515625,8,12
"['BILES SIMONE', 'CAREY JADE', 'LINCOLN KALIYA', 'MC CALLUM', 'WONG LEANNE']",10.65625,4.051808406647116,16.2353515625,9,12
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR']",9.9677734375,3.831805008247801,16.2353515625,10,12
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MC CALLUM', 'SKINNER MYKAYLA']",8.951171875,4.941895008553275,16.2353515625,11,12
"['BILES SIMONE', 'CAREY JADE', 'FRAZIER EMJAE', 'LINCOLN KALIYA', 'SKINNER MYKAYLA']",6.0712890625,3.43479559964565,16.2353515625,12,12
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.7138671875,4.7792405532135875,16.7138671875,1,13
"['BILES SIMONE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.513671875,5.094632056451613,16.7138671875,2,13
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.455078125,5.786836357526882,16.7138671875,3,13
"['BILES SIMONE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",15.5830078125,7.140708050769795,16.7138671875,4,13
"['JONES SHILESE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",15.240234375,6.15923982771261,16.7138671875,5,13
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'SKINNER MYKAYLA']",13.3564453125,5.5258039696358745,16.7138671875,6,13
