LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
ASIL,Adem,m,TUR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,23,5.800,6.800,0,12.600
ASIL,Adem,m,TUR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,13,6.200,7.400,0,13.600
YUSOF,Eddy,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,19,5.400,8.400,0,13.800
YUSOF,Eddy,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,9,5.600,8.266,0,13.866
YUSOF,Eddy,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,18,5.500,7.800,0,13.300
YUSOF,Eddy,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,24,5.600,7.733,-0.3,13.033
YUSOF,Eddy,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,11,5.900,8.633,0,14.533
YUSOF,Eddy,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,18,5.400,7.800,0,13.200
SOUZA,Caio,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,22,5.500,7.433,0,12.933
SOUZA,Caio,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,23,5.600,6.533,0,12.133
SOUZA,Caio,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,4,6.000,8.500,0,14.500
SOUZA,Caio,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,16,5.600,8.900,-0.3,14.200
SOUZA,Caio,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,12,6.100,8.400,0,14.500
SOUZA,Caio,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,17,5.900,7.366,0,13.266
DAUSER,Lukas,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,20,5.400,8.133,0,13.533
DAUSER,Lukas,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,12,5.300,8.266,0,13.566
DAUSER,Lukas,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,17,5.300,8.025,0,13.325
DAUSER,Lukas,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,22,4.800,8.633,0,13.433
DAUSER,Lukas,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,2,6.700,8.700,0,15.400
DAUSER,Lukas,m,GER,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,23,5.100,6.933,0,12.033
PAKHNIUK,Petro,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,18,5.500,8.400,0,13.900
PAKHNIUK,Petro,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,11,5.900,7.733,0,13.633
PAKHNIUK,Petro,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,20,4.900,8.300,0,13.200
PAKHNIUK,Petro,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,15,5.200,9.133,-0.1,14.233
PAKHNIUK,Petro,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,22,6.600,6.666,0,13.266
PAKHNIUK,Petro,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,19,5.300,7.733,0,13.033
SOARES,Diogo,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,13,5.200,8.933,0,14.133
SOARES,Diogo,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,20,5.100,7.733,0,12.833
SOARES,Diogo,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,19,4.600,8.633,0,13.233
SOARES,Diogo,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,18,4.800,9.133,-0.1,13.833
SOARES,Diogo,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,19,5.200,8.500,0,13.700
SOARES,Diogo,m,BRA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,14,4.800,8.666,0,13.466
LEE,Chih,m,TPE,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,8,5.700,8.700,0,14.400
LEE,Chih,m,TPE,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,22,5.900,6.766,0,12.666
LEE,Chih,m,TPE,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,24,5.400,7.333,0,12.733
LEE,Chih,m,TPE,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,10,5.200,9.200,0,14.400
LEE,Chih,m,TPE,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,17,5.400,8.500,0,13.900
LEE,Chih,m,TPE,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,21,5.300,7.300,0,12.600
LEE,Junho,m,KOR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,17,5.800,8.166,0,13.966
LEE,Junho,m,KOR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,21,4.800,7.966,0,12.766
LEE,Junho,m,KOR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,15,5.000,8.466,0,13.466
LEE,Junho,m,KOR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,20,5.600,8.500,-0.3,13.800
LEE,Junho,m,KOR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,14,5.600,8.566,0,14.166
